                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.59577,                0.92698,                0.94987,                0.77845,                0.93488,                 0.9324,                0.81746,                0.53962,                0.95005,                0.94351,               0.007162,               0.007162,               0.007162
                     88,                0.58843,                 1.0122,                0.93274,                0.80462,                0.94851,                0.91849,                0.80786,                0.58152,                0.97679,                0.96339,               0.007129,               0.007129,               0.007129
                     89,                0.57728,                0.95278,                0.96732,                 0.8232,                0.92428,                0.91712,                 0.8064,                0.53962,                0.94116,                0.95306,               0.007096,               0.007096,               0.007096
                     90,                0.52329,                0.85281,                0.92861,                0.83215,                0.87891,                0.91303,                0.80704,                0.55315,                0.90401,                0.95761,               0.007063,               0.007063,               0.007063
                     91,                0.57885,                0.99039,                0.91114,                0.78283,                0.90373,                0.92173,                0.81733,                0.54662,                0.87897,                0.96293,                0.00703,                0.00703,                0.00703
                     92,                0.63871,                0.90126,                0.94952,                0.72476,                0.97634,                0.92091,                0.82556,                0.51273,                0.80433,                0.93948,               0.006997,               0.006997,               0.006997
                     93,                0.61064,                0.95468,                0.95775,                0.82302,                0.96597,                0.92342,                0.81868,                0.51907,                0.76567,                0.94722,               0.006964,               0.006964,               0.006964
                     94,                0.63254,                0.93921,                0.98275,                0.85995,                0.95671,                0.92221,                0.82716,                0.50828,                0.76383,                0.92508,               0.006931,               0.006931,               0.006931
                     95,                0.66966,                0.87491,                 0.9408,                0.83924,                0.98214,                0.91724,                0.81564,                0.52492,                0.75629,                 0.9529,               0.006898,               0.006898,               0.006898
                     96,                0.55986,                0.86496,                0.93327,                0.83357,                0.98214,                0.91641,                0.82639,                0.47504,                0.77538,                 0.8932,               0.006865,               0.006865,               0.006865
                     97,                0.57976,                0.91728,                 1.0066,                0.84628,                 0.9377,                0.91023,                0.82676,                0.45173,                0.74872,                0.88318,               0.006832,               0.006832,               0.006832
                     98,                0.59263,                 0.9073,                0.97363,                0.85924,                0.90754,                0.90113,                 0.7993,                0.49935,                0.72763,                0.90039,               0.006799,               0.006799,               0.006799
                     99,                0.62022,                0.93103,                0.95729,                0.85728,                0.92341,                0.91773,                0.81695,                0.48364,                0.72282,                0.91453,               0.006766,               0.006766,               0.006766
                    100,                0.57329,                 1.1836,                0.97145,                0.83858,                0.95198,                0.91674,                0.83731,                0.46032,                0.66745,                0.90282,               0.006733,               0.006733,               0.006733
                    101,                0.63815,                0.95658,                 1.0088,                0.86422,                0.95198,                0.92562,                0.85674,                0.43729,                0.66123,                0.89054,                 0.0067,                 0.0067,                 0.0067
                    102,                0.53792,                0.83366,                0.93516,                 0.8453,                0.99264,                0.92998,                0.85343,                0.41543,                0.63846,                0.87408,               0.006667,               0.006667,               0.006667
                    103,                0.59843,                0.97765,                0.93162,                0.79021,                0.98659,                0.92348,                0.84252,                0.42692,                0.66364,                0.87833,               0.006634,               0.006634,               0.006634
